Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other	mapped_percent	mapped
subset_SRR7763558	18577.0	72.0	17248.0	92.85	69.04	6377.0	6070.0	6272.0	65.0	0.0	40.0	1.03	0.04	1.54	0.0	1.07	1232.0	6.63	36.0	0.19	0.0	0.28	0.05	0	52	9	99.47999999999999	18480.0
subset_SRR7763559	30585.0	72.0	28705.0	93.85	69.14	10127.0	9683.0	9990.0	79.0	0.0	58.0	0.98	0.04	1.57	0.0	1.04	1774.0	5.8	37.0	0.12	0.0	0.21	0.02	0	63	6	99.64999999999999	30479.0
subset_SRR7763560	46266.0	72.0	43710.0	94.48	69.26	11720.0	11059.0	11524.0	94.0	0.0	102.0	1.0	0.02	1.5	0.01	1.09	2410.0	5.21	53.0	0.11	0.0	0.17	0.03	0	79	14	99.69	46120.0
subset_SRR7763561	34038.0	72.0	32262.0	94.78	69.26	13982.0	13470.0	13838.0	76.0	0.0	68.0	0.94	0.01	1.36	0.01	1.01	1686.0	4.95	32.0	0.09	0.0	0.16	0.01	0	55	3	99.73	33948.0
subset_SRR7763562	17194.0	72.0	15942.0	92.72	69.26	3177.0	2917.0	3110.0	35.0	0.0	32.0	0.97	0.01	1.35	0.0	1.08	1174.0	6.83	30.0	0.17	0.0	0.2	0.08	0	34	14	99.55	17116.0
subset_SRR7763563	21387.0	72.0	20061.0	93.8	69.17	6594.0	6255.0	6482.0	65.0	0.0	47.0	0.99	0.03	1.52	0.0	1.03	1253.0	5.86	24.0	0.11	0.0	0.22	0.01	0	47	2	99.66	21314.0
subset_SRR7763564	20130.0	72.0	18480.0	91.8	69.23	5732.0	5423.0	5645.0	62.0	0.0	25.0	0.96	0.01	1.18	0.01	1.08	1563.0	7.76	23.0	0.11	0.0	0.27	0.04	0	56	8	99.56	20043.0
subset_SRR7763565	29155.0	72.0	27273.0	93.54	69.27	8482.0	8076.0	8383.0	59.0	0.0	40.0	0.92	0.01	1.45	0.01	1.07	1804.0	6.19	28.0	0.1	0.0	0.16	0.01	0	47	3	99.73	29077.0
subset_SRR7763566	22608.0	72.0	21248.0	93.98	69.29	6646.0	6330.0	6547.0	64.0	0.0	35.0	0.93	0.01	1.41	0.0	1.0	1279.0	5.66	21.0	0.09	0.0	0.23	0.04	0	51	9	99.64	22527.0
subset_SRR7763567	22959.0	72.0	21527.0	93.76	69.12	8631.0	8311.0	8511.0	56.0	0.0	64.0	0.96	0.03	1.64	0.01	1.01	1372.0	5.98	24.0	0.1	0.0	0.12	0.03	0	29	7	99.74000000000001	22899.0
subset_SRR7763568	22208.0	72.0	20763.0	93.49	69.14	7496.0	7179.0	7395.0	67.0	0.0	34.0	0.96	0.01	1.44	0.01	1.0	1369.0	6.16	15.0	0.07	0.0	0.25	0.02	0	56	5	99.64999999999999	22132.0
subset_SRR7763569	16777.0	72.0	15604.0	93.01	69.09	6196.0	5928.0	6111.0	56.0	0.0	29.0	0.96	0.03	1.38	0.01	1.04	1119.0	6.67	13.0	0.08	0.0	0.23	0.02	0	38	3	99.68	16723.0
