Sample	Uniquely mapped	Mapped to multiple loci	Mapped to too many loci	Unmapped: too short	Unmapped: other
subset_SRR7763558	17248.0	1232.0	36.0	52.0	9.0
subset_SRR7763559	28705.0	1774.0	37.0	63.0	6.0
subset_SRR7763560	43710.0	2410.0	53.0	79.0	14.0
subset_SRR7763561	32262.0	1686.0	32.0	55.0	3.0
subset_SRR7763562	15942.0	1174.0	30.0	34.0	14.0
subset_SRR7763563	20061.0	1253.0	24.0	47.0	2.0
subset_SRR7763564	18480.0	1563.0	23.0	56.0	8.0
subset_SRR7763565	27273.0	1804.0	28.0	47.0	3.0
subset_SRR7763566	21248.0	1279.0	21.0	51.0	9.0
subset_SRR7763567	21527.0	1372.0	24.0	29.0	7.0
subset_SRR7763568	20763.0	1369.0	15.0	56.0	5.0
subset_SRR7763569	15604.0	1119.0	13.0	38.0	3.0
subset_SRR7763570	20830.0	1302.0	23.0	69.0	2.0
subset_SRR7763571	28400.0	1910.0	20.0	73.0	6.0
subset_SRR7763572	51320.0	3100.0	60.0	126.0	11.0
subset_SRR7763573	73210.0	5157.0	46.0	231.0	16.0
subset_SRR7763574	33112.0	2010.0	29.0	67.0	0.0
subset_SRR7763575	26126.0	2649.0	54.0	102.0	23.0
subset_SRR7763576	34807.0	2436.0	33.0	116.0	8.0
subset_SRR7763577	26428.0	2967.0	57.0	133.0	18.0
subset_SRR7763578	33144.0	2369.0	22.0	75.0	7.0
subset_SRR7763579	25251.0	1432.0	19.0	67.0	3.0
subset_SRR7763580	26740.0	1456.0	20.0	65.0	8.0
subset_SRR7763581	26362.0	1980.0	25.0	86.0	20.0
subset_SRR7763582	20059.0	1703.0	40.0	67.0	11.0
subset_SRR7763583	19645.0	1338.0	23.0	64.0	2.0
