Sample	Overlapping Genes	No Feature	Ambiguous Features	Multimapping	Unmapped
subset_SRR7763558	12330.0	4615.0	303.0	1232.0	97.0
subset_SRR7763559	23011.0	5039.0	655.0	1774.0	106.0
subset_SRR7763560	30559.0	12715.0	436.0	2410.0	146.0
subset_SRR7763561	26909.0	5044.0	309.0	1686.0	90.0
subset_SRR7763562	7992.0	7827.0	123.0	1174.0	78.0
subset_SRR7763563	14690.0	5152.0	219.0	1253.0	73.0
subset_SRR7763564	11882.0	6408.0	190.0	1563.0	87.0
subset_SRR7763565	18382.0	8488.0	403.0	1804.0	78.0
subset_SRR7763566	15542.0	5460.0	246.0	1279.0	81.0
subset_SRR7763567	16281.0	4936.0	310.0	1372.0	60.0
subset_SRR7763568	14797.0	5572.0	394.0	1369.0	76.0
subset_SRR7763569	11028.0	4309.0	267.0	1119.0	54.0
subset_SRR7763570	16165.0	4233.0	432.0	1302.0	94.0
subset_SRR7763571	21974.0	6238.0	188.0	1910.0	99.0
subset_SRR7763572	42300.0	8381.0	639.0	3100.0	197.0
subset_SRR7763573	52328.0	20553.0	329.0	5157.0	293.0
subset_SRR7763574	26955.0	5985.0	172.0	2010.0	96.0
subset_SRR7763575	17708.0	8257.0	161.0	2649.0	179.0
subset_SRR7763576	26618.0	8036.0	153.0	2436.0	157.0
subset_SRR7763577	17585.0	8710.0	133.0	2967.0	208.0
subset_SRR7763578	22962.0	9866.0	316.0	2369.0	104.0
subset_SRR7763579	19193.0	5826.0	232.0	1432.0	89.0
subset_SRR7763580	20154.0	6406.0	180.0	1456.0	93.0
subset_SRR7763581	19551.0	6420.0	391.0	1980.0	131.0
subset_SRR7763582	14718.0	5196.0	145.0	1703.0	118.0
subset_SRR7763583	15305.0	4089.0	251.0	1338.0	89.0
