Sample	Total reads	Aligned	Uniq aligned	Multimapped	Avg. read len	Avg. mapped len	Splices	Annotated splices	GT/AG splices	GC/AG splices	AT/AC splices	Non-canonical splices	Mismatch rate	Del rate	Del len	Ins rate	Ins len
subset_SRR7763558	0.018577	99.47999999999999	92.85	0.001232	72.0	69.04	0.006377	0.00607	0.006272	6.5e-05	0.0	3.9999999999999996e-05	1.03	0.04	1.54	0.0	1.07
subset_SRR7763559	0.030584999999999998	99.64999999999999	93.85	0.001774	72.0	69.14	0.010126999999999999	0.009682999999999999	0.009989999999999999	7.9e-05	0.0	5.8e-05	0.98	0.04	1.57	0.0	1.04
subset_SRR7763560	0.046265999999999995	99.69	94.48	0.00241	72.0	69.26	0.01172	0.011059	0.011524	9.4e-05	0.0	0.000102	1.0	0.02	1.5	0.01	1.09
subset_SRR7763561	0.034038	99.73	94.78	0.001686	72.0	69.26	0.013982	0.01347	0.013838	7.599999999999999e-05	0.0	6.8e-05	0.94	0.01	1.36	0.01	1.01
subset_SRR7763562	0.017194	99.55	92.72	0.001174	72.0	69.26	0.0031769999999999997	0.002917	0.00311	3.5e-05	0.0	3.2e-05	0.97	0.01	1.35	0.0	1.08
subset_SRR7763563	0.021387	99.66	93.8	0.001253	72.0	69.17	0.006594	0.006255	0.006482	6.5e-05	0.0	4.7e-05	0.99	0.03	1.52	0.0	1.03
subset_SRR7763564	0.02013	99.56	91.8	0.001563	72.0	69.23	0.005732	0.005423	0.005645	6.2e-05	0.0	2.4999999999999998e-05	0.96	0.01	1.18	0.01	1.08
subset_SRR7763565	0.029155	99.73	93.54	0.0018039999999999998	72.0	69.27	0.008482	0.008076	0.008383	5.9e-05	0.0	3.9999999999999996e-05	0.92	0.01	1.45	0.01	1.07
subset_SRR7763566	0.022608	99.64	93.98	0.001279	72.0	69.29	0.006646	0.00633	0.006547	6.4e-05	0.0	3.5e-05	0.93	0.01	1.41	0.0	1.0
subset_SRR7763567	0.022959	99.74000000000001	93.76	0.001372	72.0	69.12	0.008631	0.008310999999999999	0.008511	5.6e-05	0.0	6.4e-05	0.96	0.03	1.64	0.01	1.01
subset_SRR7763568	0.022208	99.64999999999999	93.49	0.001369	72.0	69.14	0.007496	0.007179	0.007395	6.7e-05	0.0	3.4e-05	0.96	0.01	1.44	0.01	1.0
subset_SRR7763569	0.016777	99.68	93.01	0.001119	72.0	69.09	0.006196	0.005928	0.006111	5.6e-05	0.0	2.9e-05	0.96	0.03	1.38	0.01	1.04
subset_SRR7763570	0.022226	99.58	93.72	0.001302	72.0	69.26	0.007234999999999999	0.006944	0.007107	8.499999999999999e-05	0.0	4.2999999999999995e-05	0.94	0.01	1.41	0.0	1.04
subset_SRR7763571	0.030409	99.67	93.39	0.0019099999999999998	72.0	69.12	0.0035039999999999997	0.003117	0.003405	6.3e-05	1e-06	3.5e-05	1.06	0.06	1.87	0.0	1.05
subset_SRR7763572	0.054617	99.63999999999999	93.96	0.0031	72.0	69.22	0.006606	0.005828	0.006444999999999999	8.3e-05	0.0	7.8e-05	1.02	0.03	1.53	0.0	1.0
subset_SRR7763573	0.07866	99.63	93.07	0.005157	72.0	69.31	0.006918	0.0058059999999999995	0.006716	8.2e-05	1e-06	0.00011899999999999999	1.07	0.02	1.44	0.0	1.01
subset_SRR7763574	0.035218	99.72999999999999	94.02	0.00201	72.0	69.15	0.007882	0.007383	0.007775	5.2e-05	0.0	5.4999999999999995e-05	0.98	0.02	1.53	0.0	1.06
subset_SRR7763575	0.028953999999999997	99.38000000000001	90.23	0.002649	72.0	69.16	0.002973	0.0025559999999999997	0.0028899999999999998	5.1e-05	0.0	3.2e-05	1.01	0.01	1.47	0.0	1.0
subset_SRR7763576	0.037399999999999996	99.58	93.07	0.002436	72.0	69.17	0.003977	0.003526	0.003877	5.3e-05	0.0	4.7e-05	1.06	0.03	1.48	0.0	1.03
subset_SRR7763577	0.029602999999999997	99.28999999999999	89.27	0.002967	72.0	69.02	0.003215	0.002774	0.003106	6.4e-05	0.0	4.4999999999999996e-05	0.98	0.01	1.79	0.0	1.07
subset_SRR7763578	0.035616999999999996	99.71000000000001	93.06	0.002369	72.0	69.24	0.004591	0.004099	0.004477	7.099999999999999e-05	0.0	4.2999999999999995e-05	0.96	0.02	1.68	0.0	1.05
subset_SRR7763579	0.026771999999999997	99.66999999999999	94.32	0.001432	72.0	69.3	0.003508	0.0031539999999999997	0.003411	6.2e-05	0.0	3.5e-05	0.94	0.01	1.33	0.0	1.03
subset_SRR7763580	0.028288999999999998	99.67	94.52	0.0014559999999999998	72.0	69.32	0.003891	0.003518	0.003805	4.9e-05	0.0	3.7e-05	0.97	0.03	1.53	0.0	1.05
subset_SRR7763581	0.028473	99.54	92.59	0.00198	72.0	69.13	0.004915	0.004546	0.004823	6.1e-05	0.0	3.1e-05	0.98	0.02	1.72	0.0	1.04
subset_SRR7763582	0.02188	99.46000000000001	91.68	0.0017029999999999999	72.0	69.1	0.003343	0.003038	0.003264	5.4e-05	0.0	2.4999999999999998e-05	1.03	0.03	1.63	0.0	1.0
subset_SRR7763583	0.021072	99.58	93.23	0.001338	72.0	69.21	0.003232	0.0029449999999999997	0.003149	5.9e-05	0.0	2.4e-05	0.96	0.02	1.63	0.0	1.0
