Sample	star-total_reads	star-mapped	star-mapped_percent	star-uniquely_mapped	star-uniquely_mapped_percent	star-multimapped
subset_SRR7763558	0.018577	0.01848	99.47999999999999	0.017248	92.85	0.001232
subset_SRR7763559	0.030584999999999998	0.030479	99.64999999999999	0.028704999999999998	93.85	0.001774
subset_SRR7763560	0.046265999999999995	0.04612	99.69	0.04371	94.48	0.00241
subset_SRR7763561	0.034038	0.033948	99.73	0.032262	94.78	0.001686
subset_SRR7763562	0.017194	0.017116	99.55	0.015941999999999998	92.72	0.001174
subset_SRR7763563	0.021387	0.021314	99.66	0.020061	93.8	0.001253
subset_SRR7763564	0.02013	0.020043	99.56	0.01848	91.8	0.001563
subset_SRR7763565	0.029155	0.029077	99.73	0.027273	93.54	0.0018039999999999998
subset_SRR7763566	0.022608	0.022527	99.64	0.021248	93.98	0.001279
subset_SRR7763567	0.022959	0.022899	99.74000000000001	0.021526999999999998	93.76	0.001372
subset_SRR7763568	0.022208	0.022132	99.64999999999999	0.020763	93.49	0.001369
subset_SRR7763569	0.016777	0.016723	99.68	0.015604	93.01	0.001119
subset_SRR7763570	0.022226	0.022132	99.58	0.020829999999999998	93.72	0.001302
subset_SRR7763571	0.030409	0.03031	99.67	0.028399999999999998	93.39	0.0019099999999999998
subset_SRR7763572	0.054617	0.054419999999999996	99.63999999999999	0.05132	93.96	0.0031
subset_SRR7763573	0.07866	0.07836699999999999	99.63	0.07321	93.07	0.005157
subset_SRR7763574	0.035218	0.035122	99.72999999999999	0.033111999999999996	94.02	0.00201
subset_SRR7763575	0.028953999999999997	0.028775	99.38000000000001	0.026126	90.23	0.002649
subset_SRR7763576	0.037399999999999996	0.037243	99.58	0.034807	93.07	0.002436
subset_SRR7763577	0.029602999999999997	0.029394999999999998	99.28999999999999	0.026428	89.27	0.002967
subset_SRR7763578	0.035616999999999996	0.035512999999999996	99.71000000000001	0.033144	93.06	0.002369
subset_SRR7763579	0.026771999999999997	0.026683	99.66999999999999	0.025251	94.32	0.001432
subset_SRR7763580	0.028288999999999998	0.028196	99.67	0.02674	94.52	0.0014559999999999998
subset_SRR7763581	0.028473	0.028342	99.54	0.026362	92.59	0.00198
subset_SRR7763582	0.02188	0.021762	99.46000000000001	0.020059	91.68	0.0017029999999999999
subset_SRR7763583	0.021072	0.020982999999999998	99.58	0.019645	93.23	0.001338
