Sample	Overlapping Genes	No Feature	Ambiguous Features	Multimapping	Unmapped
subset_SRR7763558	1154.0	16090.0	4.0	1232.0	97.0
subset_SRR7763559	1780.0	26915.0	10.0	1774.0	106.0
subset_SRR7763560	4047.0	39649.0	14.0	2410.0	146.0
subset_SRR7763561	3317.0	28931.0	14.0	1686.0	90.0
subset_SRR7763562	1508.0	14428.0	6.0	1174.0	78.0
subset_SRR7763563	1506.0	18547.0	8.0	1253.0	73.0
subset_SRR7763564	1490.0	16981.0	9.0	1563.0	87.0
subset_SRR7763565	2372.0	24891.0	10.0	1804.0	78.0
subset_SRR7763566	1422.0	19821.0	5.0	1279.0	81.0
subset_SRR7763567	1548.0	19971.0	8.0	1372.0	60.0
subset_SRR7763568	1584.0	19170.0	9.0	1369.0	76.0
subset_SRR7763569	1045.0	14555.0	4.0	1119.0	54.0
subset_SRR7763570	1345.0	19478.0	7.0	1302.0	94.0
subset_SRR7763571	1546.0	26847.0	7.0	1910.0	99.0
subset_SRR7763572	2724.0	48589.0	7.0	3100.0	197.0
subset_SRR7763573	4628.0	68553.0	29.0	5157.0	293.0
subset_SRR7763574	1996.0	31109.0	7.0	2010.0	96.0
subset_SRR7763575	1746.0	24378.0	2.0	2649.0	179.0
subset_SRR7763576	2110.0	32692.0	5.0	2436.0	157.0
subset_SRR7763577	1748.0	24672.0	8.0	2967.0	208.0
subset_SRR7763578	2878.0	30256.0	10.0	2369.0	104.0
subset_SRR7763579	1779.0	23462.0	10.0	1432.0	89.0
subset_SRR7763580	1984.0	24749.0	7.0	1456.0	93.0
subset_SRR7763581	1814.0	24539.0	9.0	1980.0	131.0
subset_SRR7763582	1170.0	18877.0	12.0	1703.0	118.0
subset_SRR7763583	1107.0	18533.0	5.0	1338.0	89.0
