Sample	Overlapping Genes	No Feature	Ambiguous Features	Multimapping	Unmapped
subset_SRR7763558	12596.0	3903.0	749.0	1232.0	97.0
subset_SRR7763559	23110.0	4095.0	1500.0	1774.0	106.0
subset_SRR7763560	32344.0	9790.0	1576.0	2410.0	146.0
subset_SRR7763561	25179.0	4247.0	2836.0	1686.0	90.0
subset_SRR7763562	8915.0	6607.0	420.0	1174.0	78.0
subset_SRR7763563	15089.0	4194.0	778.0	1253.0	73.0
subset_SRR7763564	12524.0	5336.0	620.0	1563.0	87.0
subset_SRR7763565	19494.0	6740.0	1039.0	1804.0	78.0
subset_SRR7763566	15855.0	4592.0	801.0	1279.0	81.0
subset_SRR7763567	16631.0	3983.0	913.0	1372.0	60.0
subset_SRR7763568	15206.0	4570.0	987.0	1369.0	76.0
subset_SRR7763569	11308.0	3644.0	652.0	1119.0	54.0
subset_SRR7763570	16222.0	3526.0	1082.0	1302.0	94.0
subset_SRR7763571	22796.0	5048.0	556.0	1910.0	99.0
subset_SRR7763572	43374.0	6479.0	1467.0	3100.0	197.0
subset_SRR7763573	55272.0	16747.0	1191.0	5157.0	293.0
subset_SRR7763574	27253.0	4834.0	1025.0	2010.0	96.0
subset_SRR7763575	18564.0	6955.0	607.0	2649.0	179.0
subset_SRR7763576	27752.0	6411.0	644.0	2436.0	157.0
subset_SRR7763577	18476.0	7386.0	566.0	2967.0	208.0
subset_SRR7763578	24704.0	7548.0	892.0	2369.0	104.0
subset_SRR7763579	19855.0	4601.0	795.0	1432.0	89.0
subset_SRR7763580	21085.0	4945.0	710.0	1456.0	93.0
subset_SRR7763581	20252.0	5157.0	953.0	1980.0	131.0
subset_SRR7763582	15292.0	4314.0	453.0	1703.0	118.0
subset_SRR7763583	15571.0	3399.0	675.0	1338.0	89.0
