"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"AT5G37260"	3.04808673781839	6.96460853569716	24.1549982836734	1.19334103485239e-16	2.51556290146885e-12	26.6226280630641
"AT3G02990"	1.64848851880283	3.30459650203434	13.6053340916954	8.57397655721506e-12	9.03697129130467e-08	16.0062155845612
"AT2G29500"	-5.03422239427134	5.52580216029024	-12.0621196803197	7.93758566977951e-11	5.57747686396507e-07	14.6456461448471
"AT3G24520"	1.87157410671207	5.88296519834341	11.7100032393482	1.36000833433124e-10	7.16724392192565e-07	14.3855452517146
"AT3G46230"	-6.70686475839863	4.54449435151341	-11.1899099588497	3.08158135842971e-10	1.29919470071397e-06	12.5195327027836
"AT5G65630"	1.04689034284407	7.55377544084635	10.6575905139158	7.32926981170713e-10	2.57501679384644e-06	12.802559344993
"AT3G24100"	-1.27591561531675	5.98829525608888	-10.2371870461096	1.48511834889237e-09	4.02163309884867e-06	12.1093944309095
"AT1G53540"	-7.18475833013036	4.31696506544236	-10.160183006631	1.69386598856922e-09	4.02163309884867e-06	10.8647336304378
"AT4G21320"	-2.86414529571902	4.70513617619913	-10.1522578405516	1.71701602892021e-09	4.02163309884867e-06	11.8254991507234
"AT5G48570"	-4.00781944852684	6.42234124022337	-10.0366243130429	2.09483217431907e-09	4.41590622346459e-06	11.7523248117719
"AT5G52882"	0.878655457389261	7.64962096677825	9.8287223855576	3.00711558806944e-09	5.39881065977541e-06	11.430100770853
"AT5G02810"	-4.88722838332241	3.41933572364605	-9.81629001489224	3.0733267512953e-09	5.39881065977541e-06	10.4309080766173
"AT1G09140"	-1.24692803319114	7.02705198377674	-9.49609483277751	5.41978611504439e-09	8.78839163885659e-06	10.8545548496051
"AT4G24780"	1.92888453903518	6.97956802497608	9.38092698912246	6.66678826261415e-09	1.00382783268504e-05	10.6519217192755
"AT5G59570"	1.53152759707047	3.00574121141622	9.33068937533897	7.30076934587712e-09	1.02600145207393e-05	10.1463915103234
"AT4G11880"	2.74366277210706	2.91935675773326	9.18328906910719	9.54785421869944e-09	1.24573856879408e-05	9.78198659987876
"AT4G25500"	1.05176758959509	6.14373755665358	9.15550325110006	1.00462787805974e-08	1.24573856879408e-05	10.2508384201436
"AT1G22770"	-3.58828434880197	3.9530358567107	-9.09040436024606	1.13225945530218e-08	1.326001628765e-05	9.95865247489602
"AT1G31230"	1.15744696335706	6.11499642896301	8.72153544023232	2.25244926943789e-08	2.49903318946056e-05	9.45967186549013
"AT2G27820"	-0.870911817340283	5.73580806042111	-8.68072414752552	2.4331458979035e-08	2.56453577639028e-05	9.38569323442089
"AT5G36890"	1.2247583128322	4.60535436523147	8.61795894837794	2.74088968317415e-08	2.75133116768148e-05	9.2550293342258
"AT5G08100"	1.01612905244119	5.0387969772882	8.58180294601971	2.93621257453151e-08	2.81342550323292e-05	9.20094937633242
"AT5G12020"	-8.25511866634047	3.02859072291046	-8.51027440741026	3.36626941543776e-08	3.08525909901861e-05	6.99393105140746
"AT3G54600"	2.27253509446001	6.22312704299717	8.45791741424934	3.72206000587732e-08	3.26920937182891e-05	8.969418989947
"AT4G30650"	1.30980742613565	3.95757430596134	8.37528988359975	4.36477856536566e-08	3.52123504299539e-05	8.78000962024148
"AT5G23010"	2.80177772582197	5.76916490521909	8.36986128458206	4.41083538955342e-08	3.52123504299539e-05	8.80730679704488
"AT4G38130"	0.621709882462468	7.1245025301824	8.35835567806216	4.51012078562029e-08	3.52123504299539e-05	8.77295048517498
"AT5G64170"	-2.86718457519113	5.41520124127672	-8.33394210924581	4.72852989456637e-08	3.55990750633782e-05	8.73771725946536
"AT2G03090"	2.99853117656445	5.62589068290721	8.20452487845248	6.08370628530748e-08	4.42222512049247e-05	8.49463289190613
"AT5G12280"	2.60423925312782	0.834230751232076	8.14536012588185	6.83158269024873e-08	4.80032543701477e-05	6.95164865607727
"AT3G22830"	2.50271544433011	1.7263873642575	8.10371209736409	7.41459491126039e-08	5.04192453965706e-05	7.63679249216704
"AT5G66170"	-1.34646711351682	5.95248357809343	-7.93138053229148	1.04308205611279e-07	6.6969704298251e-05	7.96072436354334
"AT3G16060"	0.538957388334993	6.33691221421919	7.92883406616126	1.04838721150013e-07	6.6969704298251e-05	7.94328135900109
"AT1G50240"	1.28162484866233	4.56941508106792	7.91126034390999	1.08576795520816e-07	6.73176132229057e-05	7.93178941188259
"AT3G45980"	0.532696366416899	7.22428307096748	7.8949611070348	1.1216694810376e-07	6.7556550457922e-05	7.87337047609408
"AT5G10100"	1.69663342883177	4.13255592989409	7.84183067528952	1.24745405530455e-07	7.21490808494426e-05	7.77411959069252
"AT4G11960"	-1.00106043739634	4.24570277430481	-7.82962696463667	1.27835156103729e-07	7.21490808494426e-05	7.76806387848066
"AT5G64180"	-1.0998944427773	4.09764044889386	-7.81700016560816	1.31115354969229e-07	7.21490808494426e-05	7.73683482610993
"AT4G13430"	1.31641599468218	8.67152327271362	7.80808866361444	1.33482644835307e-07	7.21490808494426e-05	7.70496820000648
"AT3G20810"	2.41667210329988	1.40755796270656	7.7143932004386	1.61217277163829e-07	8.49615050653378e-05	6.51925711348071
"AT5G54930"	1.06118257387585	2.46705351789611	7.59099324527032	2.07096081966732e-07	0.000105937506383734	7.10004948937924
"AT2G35060"	-0.700255345362999	5.84716358226224	-7.58154855541499	2.11121620711721e-07	0.000105937506383734	7.26167207009414
"AT2G17265"	0.737035379087987	5.91143068721256	7.57013027922741	2.1609643142792e-07	0.000105937506383734	7.23511858718625
"AT1G69830"	-1.74161963414937	3.49269194766423	-7.54605032012741	2.2698846899789e-07	0.000108748111965353	7.17933969048252
"AT2G24580"	-0.850311786639649	6.05996162586534	-7.48723209062026	2.56042059932563e-07	0.000119941480519521	7.0636223792185
