"","Mice","Number","Mouse_ID","Strain","sex","DOB","parents","Western_Diet","Sac_Date","weight_g","length_cm","ab_fat","other_fat","total_fat","comments","X100xfat_weight","Trigly","Total_Chol","HDL_Chol","UC","FFA","Glucose","LDL_plus_VLDL","MCP_1_phys","Insulin_ug_l","Glucose_Insulin","Leptin_pg_ml","Adiponectin","Aortic.lesions","Note","Aneurysm","Aortic_cal_M","Aortic_cal_L","CoronaryArtery_Cal","Myocardial_cal","BMD_all_limbs","BMD_femurs_only","Treatment"
"248","F2_66",66,"178-4","BxH ApoE-/-, F2",2,"2001-12-07",112,"2002-02-01","2002-05-17",38.9,9.8,1.59,4.21,5.8,"66-67 muscle",14.9100257069409,98,2014,36,695,131,568,1978,154.75,1343,0.422933730454207,84800,10.305,114500,NA,23,6,0,NA,NA,NA,NA,"A"
"250","F2_68",68,"180-1","BxH ApoE-/-, F2",2,"2001-12-10",111,"2002-02-01","2002-05-17",32,9.9,1.54,2.75,4.29,NA,13.40625,70,1391,30,568,144,472,1361,114.75,911,0.518111964873765,24720,9.374,274750,NA,39,15,21,NA,NA,NA,NA,"A"
"251","F2_69",69,"180-2","BxH ApoE-/-, F2",2,"2001-12-10",111,"2002-02-01","2002-05-17",34.9,9.9,1.6,3.22,4.82,NA,13.810888252149,80,829,59,230,60,292,770,91.028,560,0.521428571428571,46340,6.85,109250,NA,12,2,3,NA,NA,NA,NA,"A"
"252","F2_70",70,"180-3","BxH ApoE-/-, F2",2,"2001-12-10",111,"2002-02-01","2002-05-17",23.9,9.8,0.53,1.4,1.93,"black, malocclusion?",8.07531380753138,80,857,36,364,110,426,821,125.6,420,1.01428571428571,6560,8.827,470500,NA,4,0,17,NA,NA,NA,NA,"A"
"253","F2_71",71,"181-1","BxH ApoE-/-, F2",2,"2001-12-10",111,"2002-02-01","2002-05-17",40.9,10,NA,4.66,NA,NA,NA,38,1895,38,649,112,497,1857,169.296,NA,NA,NA,NA,271750,NA,5,4,3,NA,NA,NA,NA,"A"
"254","F2_72",72,"181-2","BxH ApoE-/-, F2",2,"2001-12-10",111,"2002-02-01","2002-05-17",30.9,9.7,1.67,2.43,4.1,"malocclusion?",13.2686084142395,44,840,29,312,74,367,811,154.896,599,0.612687813021703,37800,9.239,422250,NA,3,0,0,NA,NA,NA,NA,"A"
"260","F2_78",78,"198-2","BxH ApoE-/-, F2",2,"2001-12-28",110,"2002-02-26","2002-06-19",37.1,10,1.79,2.19,3.98,"yellow liver",10.7277628032345,108,1112,25,436,126,436,1087,123.392,1166,0.373927958833619,20900,5.767,86000,NA,6,4,0,NA,NA,NA,NA,"A"
"261","F2_79",79,"198-3","BxH ApoE-/-, F2",2,"2001-12-28",110,"2002-02-26","2002-06-19",38.7,11,2.68,2.34,5.02,NA,12.9715762273902,63,1146,43,384,108,435,1103,117.01,1647,0.264116575591985,33620,4.676,316500,NA,0,2,11,NA,NA,NA,NA,"A"
"262","F2_80",80,"198-4","BxH ApoE-/-, F2",2,"2001-12-28",110,"2002-02-26","2002-06-19",42.7,10.5,4.1,4.74,8.84,"white liver",20.7025761124122,41,1382,26,505,96,394,1356,110.806,3239,0.121642482247607,66480,4.82,197500,NA,18,0,0,NA,NA,NA,NA,"A"
"263","F2_81",81,"199-1","BxH ApoE-/-, F2",2,"2001-12-28",110,"2002-02-26","2002-06-19",33.7,10.2,1.86,2.38,4.24,"muscle switched w 82",12.5816023738872,77,1063,27,403,102,355,1036,81.628,1549,0.229180116204003,47660,6.102,291000,NA,52,10,0,NA,NA,NA,NA,"A"
"265","F2_83",83,"199-3","BxH ApoE-/-, F2",2,"2001-12-28",110,"2002-02-26","2002-06-19",39,10.5,3.93,2.18,6.11,"white liver",15.6666666666667,47,1726,39,591,130,522,1687,91.788,1118,0.46690518783542,63940,7.111,423750,NA,32,4,8,NA,NA,NA,NA,"A"
"107","F2_86",86,"201-1","BxH ApoE-/-, F2",2,"2002-01-01",112,"2002-02-26","2002-06-19",34.8,10,2.01,1.9,3.91,NA,11.235632183908,88,998,60,331,88,334,938,125.6,2457,0.135938135938136,35500,3.765,186750,NA,0,0,4,NA,NA,NA,NA,"A"
"108","F2_87",87,"201-2","BxH ApoE-/-, F2",2,"2002-01-01",112,"2002-02-26","2002-06-19",32.5,10.5,1.51,1.57,3.08,NA,9.47692307692308,36,753,53,232,68,265,700,92.962,766,0.345953002610966,16140,2.914,167250,NA,0,0,1,NA,NA,NA,NA,"A"
"109","F2_88",88,"201-3","BxH ApoE-/-, F2",2,"2002-01-01",112,"2002-02-26","2002-06-19",46,10.8,4.11,2.87,6.98,NA,15.1739130434783,55,1016,46,368,99,400,970,143.192,2852,0.140252454417952,87360,5.302,247250,NA,12,7,0,NA,NA,NA,NA,"A"
"110","F2_89",89,"201-4","BxH ApoE-/-, F2",2,"2002-01-01",112,"2002-02-26","2002-06-19",28.3,9.5,1.09,1.06,2.15,"slight malocclusion",7.59717314487633,56,1162,26,468,137,410,1136,83.746,NA,NA,17720,8.644,299500,NA,69,10,0,NA,NA,NA,NA,"A"
