"","chr","chromStart","chromEnd","name","strand","blockCount","blockSizes","blockStarts","RPM.IP.Control","RPM.input.Control","RPM.IP.Treated","RPM.input.Treated","geneID","diff.log2FC","pvalue","fdr","score"
"1","chr11",506258,507151,1,"-",3,"98,213,39","0,350,854",9563.33564,4123.42216,3758.4321,2842.36778,"ENSG00000023191.17",-0.510768354607261,3.47565756715571e-05,0.000306082101881777,4.45896301819014
"2","chr11",597557,605122,2,"+",4,"13,130,128,4","0,815,4016,7561",12695.9411,18307.62038,11851.47102,16879.99707,"ENSG00000070047.13",0.328974264770736,1.82246214852603e-07,3.71063310693994e-06,6.73934148295895
"3","chr11",607066,608941,3,"+",1,"1875","0",99654.86167,30219.72885,92772.99602,29615.63852,"ENSG00000070047.13",0.197094592250409,4.14247830072148e-07,7.53931050731308e-06,6.38273975783961
"4","chr11",560969,561119,4,"+",1,"150","0",2427.61597,2131.83731,1901.37661,1136.94711,"ENSG00000099849.15",0.988556804759975,1.90288877278971e-07,3.71063310693994e-06,6.72058659625077
"5","chr11",561738,561788,5,"+",1,"50","0",1459.02172,1365.12389,1014.95395,559.30463,"ENSG00000099849.15",1.03481260524885,5.7808745587092e-05,0.000493180860789879,4.2380064544359
"6","chr11",563611,564025,6,"+",1,"414","0",21125.16322,5105.18934,14506.3069,3117.43563,"ENSG00000099849.15",0.454233862225497,1.72992427889045e-05,0.000181642049283498,4.76197290610805
"7","chr11",215504,215529,7,"-",1,"25","0",226.8227,149.60262,124.09917,18.33786,"ENSG00000142082.15",2.69321610478218,0.00504024428252865,0.0218410585576241,2.29754841435145
"8","chr11",320582,321240,8,"-",3,"278,30,17","0,554,641",31344.4456,35446.47031,20622.62328,31907.87061,"ENSG00000142089.17",-0.1674899132386,0.000181279217442641,0.00133754665842814,3.74165198226596
"9","chr11",289200,289619,9,"+",2,"39,61","0,358",993.11562,626.46096,2739.04603,3667.57133,"ENSG00000142102.16",-0.809385407286324,0.000410919590731847,0.00273612312853157,3.38624315310678
"10","chr11",289644,290408,10,"+",2,"431,19","0,745",2629.9173,2318.84058,8620.46041,12203.84361,"ENSG00000142102.16",-0.412891086477733,0.00105031724396376,0.00623340451308927,2.97867950426982
"11","chr11",291083,291958,11,"+",1,"875","0",12469.1184,3328.65825,41054.66569,16687.44957,"ENSG00000142102.16",-0.329706232957459,0.000280624514797843,0.00201606559315293,3.55187439255078
"12","chr11",537526,537576,12,"+",1,"50","0",2458.26769,1458.62553,186.14876,348.41928,"ENSG00000161328.11",-1.38662427650655,7.62322704611611e-05,0.000612100289291088,4.11786114524283
"13","chr11",551281,551704,13,"+",2,"21,54","0,369",717.25017,607.76064,354.56907,155.87178,"ENSG00000161328.11",1.23387421276345,0.00558671656439681,0.0234642095704666,2.25284336150916
"14","chr11",451415,458695,14,"+",2,"78,22","0,7258",594.64331,476.85835,1183.37426,641.82498,"ENSG00000174915.12",0.943942546941447,0.00280780627188576,0.0132160536590485,2.55163286020086
"15","chr11",458945,459645,15,"+",1,"700","0",4285.11001,1654.97896,8044.28568,1081.93354,"ENSG00000174915.12",1.91658527196854,1.21244290289898e-25,6.61993824982843e-24,24.9163387043049
"16","chr11",706812,706862,16,"-",1,"50","0",637.55571,158.95278,195.01299,183.37857,"ENSG00000177030.19",-1.64540680917601,0.00240117932978411,0.0117057492326976,2.61957540386328
"17","chr11",697690,706687,17,"-",2,"309,116","0,8881",3849.85563,1047.21833,1480.32585,1191.96068,"ENSG00000177030.19",-1.18855376860356,1.53854859358047e-08,5.25029707559334e-07,7.81288878242557
"18","chr11",679800,680065,18,"-",2,"16,184","0,81",1839.10301,822.8144,350.13695,522.62892,"ENSG00000177030.19",-1.38497003110113,5.88408906029763e-06,6.69315130608855e-05,5.23032076250754
"19","chr11",644232,646329,19,"-",2,"422,3","0,2094",13186.36857,2599.34549,8323.50882,2787.35421,"ENSG00000177030.19",-0.446609650527436,0.000489514265646388,0.00318184272670153,3.31023464726997
"20","chr11",708632,709418,20,"+",2,"11,89","0,697",3316.51576,3721.36512,3093.6151,3264.13849,"ENSG00000177106.17",0.361706557256513,0.00686912667664726,0.0275775232753633,2.16309847453031
"21","chr11",709443,709619,21,"+",2,"8,67","0,109",3255.21232,3786.81627,3749.56787,3713.41598,"ENSG00000177106.17",0.502155030101325,9.99761927002697e-05,0.000758152794643712,4.00010340609861
"22","chr11",710419,710444,22,"+",1,"25","0",790.81429,2225.33894,1045.97874,1998.82638,"ENSG00000177106.17",0.886866835143753,2.00233557460201e-05,0.000202458374765314,4.69846313665441
"23","chr11",721626,721676,23,"+",1,"50","0",2623.78696,6676.01683,2925.19479,6344.89841,"ENSG00000177106.17",0.499910639850861,2.29383439152695e-05,0.000223648853173878,4.63943794015849
