"","chr","chromStart","chromEnd","name","strand","blockCount","blockSizes","blockStarts","RPM.IP.Control","RPM.input.Control","RPM.IP.Treated","RPM.input.Treated","geneID","diff.log2FC","pvalue","fdr","score"
"1","chr11",506208,507176,1,"-",3,"148,213,64","0,400,904",9327.3786,4003.48277,3732.23456,2773.86734,"ENSG00000023191.17",-0.503456454703322,2.69419428591009e-05,0.000374579915234597,4.56957108929
"2","chr11",503310,503335,2,"-",1,"25","0",70.79604,93.89832,42.65411,8.32993,"ENSG00000023191.17",2.36129489267698,0.0357471208180133,0.136345213031537,1.44675893185462
"3","chr11",500659,500860,3,"-",2,"79,21","0,180",383.47856,349.98463,243.12842,116.61905,"ENSG00000023191.17",1.21217780008486,0.019198436559427,0.0871002753380319,1.71673413698708
"4","chr11",576469,587300,4,"+",4,"123,115,120,42","0,5022,5492,10789",11746.24338,9389.83167,9183.42973,10020.90813,"ENSG00000070047.13",-0.175799972879044,0.0191786981477278,0.0871002753380319,1.71718087612505
"5","chr11",597482,605172,5,"+",4,"88,130,128,54","0,890,4091,7636",12642.99326,18856.48923,11845.04615,17759.41491,"ENSG00000070047.13",0.295029066957374,1.00536820451046e-06,2.16656848072004e-05,5.99767485376481
"6","chr11",606818,609541,6,"+",2,"24,2476","0,247",108754.52062,31737.63103,101124.36232,31095.63595,"ENSG00000070047.13",0.189957888550682,1.67461829193332e-07,6.01467069852719e-06,6.77608416928303
"7","chr11",560403,560428,7,"+",1,"25","0",35.39802,59.75347,38.3887,0,"ENSG00000099849.15",3.10174027432632,0.0132853392756552,0.0681664431881832,1.87662735027414
"8","chr11",560503,561169,8,"+",2,"11,214","0,452",2495.5605,2151.12507,1940.76197,1174.5204,"ENSG00000099849.15",0.915935274131091,3.78510404522933e-07,1.16527131678131e-05,6.42192217807991
"9","chr11",561738,561813,9,"+",1,"75","0",1587.01129,1613.3438,1040.76027,691.38435,"ENSG00000099849.15",0.88072348584086,0.000118580669261651,0.00123854017395567,3.92598610285409
"10","chr11",563561,564025,10,"+",1,"464","0",20430.55793,5130.26257,14003.34408,3065.41496,"ENSG00000099849.15",0.470765847127979,3.71963156360658e-06,6.16600463044013e-05,5.4295000756603
"11","chr11",215029,215154,11,"-",1,"125","0",2678.45027,1007.27285,1817.06506,799.67347,"ENSG00000142082.15",0.461130331857761,0.0368291489520403,0.137104296599625,1.43380831670586
"12","chr11",322712,326262,12,"-",2,"15,560","0,2990",702.06075,187.79663,499.05308,374.84694,"ENSG00000142089.17",-1.02955729851083,0.0141617315806134,0.0709733292005159,1.84888364142532
"13","chr11",320582,321240,13,"-",3,"278,30,17","0,554,641",30165.01378,32360.77441,19846.95706,28988.16317,"ENSG00000142089.17",-0.166113341352391,0.000204815991044776,0.00196168204756219,3.68863613875387
"14","chr11",289175,289619,14,"+",2,"64,61","0,383",1079.63965,623.14337,2845.02909,4331.56461,"ENSG00000142102.16",-1.12882341359746,1.92542607348126e-07,6.38352798208017e-06,6.71547315140921
"15","chr11",289644,290433,15,"+",2,"431,44","0,745",2648.95192,2270.63202,8500.96398,11836.83329,"ENSG00000142102.16",-0.435211979814709,0.000374928015736552,0.00323187949564908,3.42605210659045
"16","chr11",291083,291958,16,"+",1,"875","0",11999.9292,3038.89098,39510.50144,15160.47614,"ENSG00000142102.16",-0.328376821743424,0.000296989322135875,0.00266671662167837,3.52725916489434
"17","chr11",293041,293066,17,"+",1,"25","0",165.19077,128.04316,89.57363,258.22789,"ENSG00000142102.16",-1.58663412190556,0.00999277731385065,0.0538360877783704,2.00031379060812
"18","chr11",537526,538793,18,"+",2,"79,196","0,1071",2861.34005,1980.40086,481.99144,641.40476,"ENSG00000161328.11",-0.640041568967728,0.00825531706684862,0.0462083331923605,2.08326624187565
"19","chr11",551206,551904,19,"+",3,"96,177,2","0,444,696",1433.61986,1536.51791,742.1815,633.07483,"ENSG00000161328.11",0.600598384070682,0.0137897571925128,0.0699221805879177,1.86044338073352
"20","chr11",551954,552126,20,"+",2,"13,37","0,135",342.18087,708.50548,187.67808,208.2483,"ENSG00000161328.11",1.16377129259733,0.00783142610457312,0.0444124296193555,2.10615914561109
"21","chr11",279516,280803,21,"+",3,"91,39,720","0,317,567",1522.11491,828.01243,2397.16094,1124.54081,"ENSG00000174885.13",0.510650613955238,0.0205982625216313,0.0916517319105789,1.68616941114015
"22","chr11",281003,282790,22,"+",2,"836,89","0,1698",4507.34804,614.60716,4026.54792,1057.90136,"ENSG00000174885.13",-0.679588594763445,0.00242638148587182,0.0171437773837829,2.61504091650154
"23","chr11",458870,459720,23,"+",1,"850","0",4123.86948,1570.66275,7745.98625,1016.2517,"ENSG00000174915.12",1.97113330046354,7.87859823351211e-28,8.48918959660929e-26,27.1035510456582
"24","chr11",460170,460195,24,"+",1,"25","0",135.69241,239.0139,145.02397,108.28912,"ENSG00000174915.12",1.73478552840266,0.0052433213451412,0.0332334044081744,2.28039352505473
"25","chr11",486993,487043,25,"+",1,"50","0",176.99011,503.63643,209.00514,424.82653,"ENSG00000174915.12",0.920822563397177,0.033667372226982,0.133125114035131,1.47279077941997
"26","chr11",706787,707112,26,"-",1,"325","0",1362.82382,554.85369,418.01027,499.79592,"ENSG00000177030.19",-1.27204415085416,4.40490445764633e-05,0.000542432520355877,4.35606350699472
"27","chr11",697690,706712,27,"-",2,"309,141","0,8881",3758.08992,1084.09875,1450.23972,1191.18027,"ENSG00000177030.19",-1.14037057116494,1.36060339359063e-08,6.51577847375067e-07,7.86626845016522
"28","chr11",693662,694702,28,"-",2,"1,24","0,1016",123.89307,85.36211,72.51199,174.92857,"ENSG00000177030.19",-1.53642043547117,0.0346145171039845,0.134404115962318,1.46074172271318
"29","chr11",691582,691607,29,"-",1,"25","0",306.78285,418.27432,251.65924,766.35374,"ENSG00000177030.19",-0.782534652753449,0.0367618310019476,0.137104296599625,1.4346028657778
"30","chr11",679775,680978,30,"-",3,"41,193,16","0,106,1187",1935.09183,1058.49012,400.94863,691.38435,"ENSG00000177030.19",-1.30358797117611,8.88576366234916e-07,2.01566533603815e-05,6.05130524201824
"31","chr11",679700,679750,31,"-",1,"50","0",572.26801,631.67958,89.57363,491.46598,"ENSG00000177030.19",-2.04952147366036,1.76777403580451e-06,3.31265482361629e-05,5.75257324909385
